step,loss,loss_std,loss_ema,grad_norm,lr,step_per_sec,elapsed_sec
23800,0.003297,0.000923,0.003302,0.077228,0.00020000,4.8133,4944.62
23900,0.003440,0.000931,0.003376,0.066863,0.00020000,4.8141,4964.56
24000,0.004009,0.001316,0.003707,0.107312,0.00020000,4.8149,4984.50
24100,0.003555,0.000972,0.003622,0.082472,0.00020000,4.8156,5004.52
24200,0.003207,0.000821,0.003359,0.056583,0.00020000,4.8164,5024.46
24300,0.003333,0.000978,0.003359,0.068185,0.00020000,4.8172,5044.38
24400,0.003421,0.001137,0.003438,0.092086,0.00020000,4.8180,5064.32
24500,0.003341,0.000903,0.003344,0.067812,0.00020000,4.8188,5084.30
24600,0.003451,0.001039,0.003388,0.080273,0.00020000,4.8195,5104.24
24700,0.003083,0.000841,0.003208,0.062996,0.00020000,4.8203,5124.19
24800,0.003263,0.000961,0.003238,0.064573,0.00020000,4.8210,5144.15
24900,0.003432,0.000843,0.003326,0.096589,0.00020000,4.8217,5164.15
25000,0.003113,0.000836,0.003220,0.058943,0.00020000,4.8224,5184.11
25100,0.003264,0.000910,0.003262,0.067576,0.00020000,4.8231,5204.16
25200,0.003337,0.000955,0.003363,0.066499,0.00020000,4.8238,5224.12
25300,0.003202,0.000815,0.003281,0.069555,0.00020000,4.8245,5244.07
25400,0.003447,0.001033,0.003404,0.069436,0.00020000,4.8252,5264.06
25500,0.003269,0.000873,0.003336,0.068041,0.00020000,4.8259,5284.00
25600,0.003365,0.000933,0.003362,0.073250,0.00020000,4.8266,5303.94
25700,0.003255,0.000883,0.003316,0.057107,0.00020000,4.8273,5323.90
25800,0.003527,0.001000,0.003461,0.098054,0.00020000,4.8280,5343.86
25900,0.003295,0.000856,0.003353,0.073491,0.00020000,4.8286,5363.82
26000,0.003107,0.000821,0.003211,0.062517,0.00020000,4.8293,5383.75
26100,0.003411,0.000921,0.003342,0.065698,0.00020000,4.8300,5403.70
26200,0.003230,0.000901,0.003263,0.086202,0.00020000,4.8307,5423.67
26300,0.003335,0.000981,0.003333,0.062422,0.00020000,4.8313,5443.63
26400,0.003429,0.000915,0.003367,0.073436,0.00020000,4.8320,5463.56
26500,0.003401,0.001244,0.003345,0.070475,0.00020000,4.8315,5484.89
26600,0.003165,0.000783,0.003263,0.054287,0.00020000,4.8309,5506.21
26700,0.003195,0.001020,0.003203,0.065862,0.00020000,4.8305,5527.43
26800,0.003273,0.000947,0.003231,0.068954,0.00020000,4.8301,5548.60
26900,0.003124,0.000736,0.003156,0.065088,0.00020000,4.8296,5569.83
27000,0.003108,0.000773,0.003115,0.075434,0.00020000,4.8292,5591.02
27100,0.003072,0.000858,0.003116,0.074717,0.00020000,4.8288,5612.20
27200,0.003106,0.000861,0.003091,0.074711,0.00020000,4.8282,5633.53
27300,0.003372,0.000963,0.003278,0.063545,0.00020000,4.8278,5654.72
27400,0.003283,0.000903,0.003300,0.074248,0.00020000,4.8274,5675.89
27500,0.003307,0.000937,0.003298,0.062171,0.00020000,4.8270,5697.17
27600,0.003186,0.000860,0.003222,0.077118,0.00020000,4.8266,5718.31
27700,0.003499,0.001053,0.003393,0.074418,0.00020000,4.8262,5739.45
27800,0.003392,0.001032,0.003338,0.063452,0.00020000,4.8258,5760.70
27900,0.003197,0.000939,0.003239,0.072762,0.00020000,4.8254,5781.89
28000,0.003158,0.000837,0.003192,0.063585,0.00020000,4.8251,5803.03
28100,0.003371,0.000962,0.003295,0.069607,0.00020000,4.8246,5824.37
28200,0.003227,0.000832,0.003268,0.058302,0.00020000,4.8241,5845.61
28300,0.003098,0.000771,0.003147,0.077539,0.00020000,4.8236,5866.93
28400,0.003194,0.000768,0.003171,0.066665,0.00020000,4.8233,5888.07
28500,0.002997,0.000680,0.003053,0.075560,0.00020000,4.8230,5909.23
28600,0.003061,0.000861,0.003053,0.061130,0.00020000,4.8225,5930.50
28700,0.003170,0.000993,0.003157,0.069392,0.00020000,4.8222,5951.62
28800,0.003242,0.000920,0.003183,0.069716,0.00020000,4.8219,5972.77
28900,0.002872,0.000759,0.002963,0.056845,0.00020000,4.8215,5994.04
29000,0.003060,0.000900,0.003039,0.058020,0.00020000,4.8211,6015.18
29100,0.003316,0.000928,0.003218,0.073457,0.00020000,4.8208,6036.37
29200,0.003159,0.000826,0.003202,0.065562,0.00020000,4.8203,6057.66
29300,0.002860,0.000739,0.003004,0.051771,0.00020000,4.8200,6078.83
29400,0.003212,0.000833,0.003174,0.066879,0.00020000,4.8197,6100.00
29500,0.003141,0.001031,0.003142,0.075018,0.00020000,4.8193,6121.23
29600,0.002897,0.000827,0.002972,0.063556,0.00020000,4.8189,6142.42
29700,0.003240,0.000955,0.003171,0.060062,0.00020000,4.8186,6163.58
29800,0.003035,0.000785,0.003078,0.075125,0.00020000,4.8182,6184.94
29900,0.002991,0.000851,0.002977,0.072930,0.00020000,4.8179,6206.05
30000,0.003135,0.000915,0.003113,0.070380,0.00020000,4.8174,6227.47
30100,0.003053,0.000814,0.003101,0.079202,0.00020000,4.8169,6248.81
30200,0.003066,0.000804,0.003085,0.053264,0.00020000,4.8166,6270.01
30300,0.002838,0.000810,0.002938,0.059377,0.00020000,4.8161,6291.46
30400,0.003243,0.000870,0.003145,0.071971,0.00020000,4.8163,6311.91
30500,0.003232,0.000988,0.003168,0.081959,0.00020000,4.8167,6332.13
30600,0.003082,0.000846,0.003127,0.061734,0.00020000,4.8169,6352.58
30700,0.003008,0.000850,0.003045,0.055629,0.00020000,4.8171,6373.16
30800,0.003074,0.000742,0.003057,0.063415,0.00020000,4.8174,6393.48
30900,0.003212,0.000896,0.003133,0.063027,0.00020000,4.8168,6415.08
31000,0.003225,0.000793,0.003235,0.075634,0.00020000,4.8162,6436.68
31100,0.003235,0.000882,0.003227,0.070532,0.00020000,4.8155,6458.29
31200,0.003041,0.000895,0.003098,0.067868,0.00020000,4.8144,6480.54
31300,0.003075,0.000846,0.003108,0.072804,0.00020000,4.8139,6502.05
31400,0.002902,0.000703,0.002957,0.062652,0.00020000,4.8131,6523.82
31500,0.002907,0.000664,0.002916,0.062752,0.00020000,4.8124,6545.63
31600,0.002949,0.000774,0.002939,0.057090,0.00020000,4.8115,6567.57
31700,0.003243,0.000981,0.003122,0.069289,0.00020000,4.8104,6589.86
31800,0.003170,0.000923,0.003149,0.064467,0.00020000,4.8093,6612.19
31900,0.003075,0.000786,0.003090,0.058605,0.00020000,4.8080,6634.78
32000,0.003096,0.000988,0.003105,0.077799,0.00020000,4.8067,6657.37
32100,0.002948,0.000720,0.003008,0.054840,0.00020000,4.8061,6679.01
32200,0.002824,0.000760,0.002885,0.060526,0.00020000,4.8026,6704.74
32300,0.003048,0.000997,0.003014,0.059973,0.00020000,4.8004,6728.55
32400,0.002953,0.000866,0.002969,0.067471,0.00020000,4.7996,6750.57
32500,0.003159,0.001015,0.003088,0.077964,0.00020000,4.7983,6773.17
32600,0.003038,0.000955,0.003060,0.065533,0.00020000,4.7979,6794.70
32700,0.002888,0.000797,0.002965,0.056905,0.00020000,4.7975,6816.06
32800,0.002804,0.000939,0.002859,0.059678,0.00020000,4.7970,6837.66
32900,0.003008,0.000774,0.002951,0.054176,0.00020000,4.7966,6859.00
33000,0.002854,0.000749,0.002877,0.066106,0.00020000,4.7963,6880.32
33100,0.003030,0.000717,0.002961,0.062459,0.00020000,4.7957,6901.98
33200,0.003028,0.000862,0.003000,0.066744,0.00020000,4.7954,6923.35
33300,0.002903,0.000731,0.002952,0.056846,0.00020000,4.7950,6944.73
33400,0.002999,0.000747,0.002951,0.060438,0.00020000,4.7942,6966.70
33500,0.003061,0.000819,0.003022,0.062585,0.00020000,4.7936,6988.42
33600,0.003159,0.000923,0.003083,0.077237,0.00020000,4.7931,7010.11
33700,0.002996,0.000809,0.003006,0.070494,0.00020000,4.7924,7032.00
33800,0.002958,0.000806,0.002996,0.058626,0.00020000,4.7914,7054.34
33900,0.003064,0.001078,0.003083,0.066372,0.00020000,4.7908,7076.13
34000,0.003080,0.000898,0.003078,0.068968,0.00020000,4.7904,7097.48
34100,0.002965,0.000894,0.002980,0.068486,0.00020000,4.7902,7118.71
34200,0.003065,0.000809,0.003052,0.065216,0.00020000,4.7897,7140.28
34300,0.002988,0.000735,0.003011,0.058186,0.00020000,4.7888,7162.48
34400,0.002934,0.000963,0.002960,0.064391,0.00020000,4.7881,7184.45
34500,0.002836,0.000783,0.002887,0.061130,0.00020000,4.7874,7206.41
34600,0.002865,0.000752,0.002908,0.063985,0.00020000,4.7866,7228.45
34700,0.003037,0.000855,0.003011,0.059032,0.00020000,4.7859,7250.48
34800,0.003084,0.000820,0.003054,0.056756,0.00020000,4.7852,7272.43
34900,0.002966,0.000757,0.003000,0.065553,0.00020000,4.7846,7294.30
35000,0.002933,0.000776,0.002958,0.065075,0.00020000,4.7840,7316.08
35100,0.003053,0.000759,0.003027,0.069737,0.00020000,4.7832,7338.11
35200,0.002761,0.000752,0.002882,0.050762,0.00020000,4.7825,7360.23
35300,0.002908,0.000784,0.002884,0.064466,0.00020000,4.7817,7382.29
35400,0.003056,0.000901,0.002990,0.069710,0.00020000,4.7810,7404.34
35500,0.002947,0.000857,0.002976,0.056123,0.00020000,4.7802,7426.44
